algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
welsh_powell,watts_strogatz_363_7,363,6534,17,,0.063,ok
welsh_powell,watts_strogatz_427_5,427,8967,20,,0.088,ok
welsh_powell,watts_strogatz_527_3,527,13702,22,,0.121,ok
welsh_powell,watts_strogatz_551_6,551,14877,24,,0.152,ok
welsh_powell,watts_strogatz_689_9,689,23426,35,,0.268,ok
welsh_powell,watts_strogatz_711_4,711,24885,27,,0.224,ok
welsh_powell,watts_strogatz_987_8,987,48363,47,,0.626,ok
welsh_powell,watts_strogatz_989_10,989,48461,36,,0.452,ok
simulated_annealing,barabasi_albert_111_3,111,530,6,,0.457,ok
simulated_annealing,barabasi_albert_1193_7,1193,5940,7,,10.813,ok
simulated_annealing,barabasi_albert_1262_5,1262,6285,7,,6.596,ok
simulated_annealing,barabasi_albert_1284_4,1284,6395,8,,9.083,ok
simulated_annealing,barabasi_albert_1776_10,1776,8855,7,,10.347,ok
simulated_annealing,barabasi_albert_324_9,324,1595,6,,1.942,ok
simulated_annealing,barabasi_albert_382_2,382,1885,7,,1.701,ok
simulated_annealing,barabasi_albert_769_6,769,3820,8,,4.989,ok
simulated_annealing,barabasi_albert_783_8,783,3890,7,,7.071,ok
simulated_annealing,barabasi_albert_933_1,933,4640,7,,4.538,ok
simulated_annealing,bipartite_278_2,278,2295,2,,2.650,ok
simulated_annealing,bipartite_704_1,704,30226,2,,61.643,ok
simulated_annealing,bipartite_77_5,77,363,2,,0.209,ok
simulated_annealing,bipartite_80_4,80,222,2,,0.245,ok
simulated_annealing,bipartite_963_3,963,50450,2,,54.852,ok
simulated_annealing,complete_10_1,10,45,10,,0.085,ok
simulated_annealing,complete_28_3,28,378,28,,0.115,ok
simulated_annealing,complete_33_2,33,528,33,,0.152,ok
simulated_annealing,complete_35_4,35,595,35,,0.146,ok
simulated_annealing,complete_47_5,47,1081,47,,0.212,ok
simulated_annealing,erdos_renyi_1283_9,1283,76751,44,,64.801,ok
simulated_annealing,erdos_renyi_1356_5,1356,110455,53,,115.668,ok
simulated_annealing,erdos_renyi_1754_2,1754,286515,92,,537.276,ok
simulated_annealing,erdos_renyi_1800_10,1800,110682,46,,101.679,ok
simulated_annealing,erdos_renyi_1808_3,1808,170826,59,,218.644,ok
simulated_annealing,erdos_renyi_437_8,437,8504,17,,5.531,ok
simulated_annealing,erdos_renyi_632_6,632,25733,33,,12.707,ok
simulated_annealing,erdos_renyi_701_7,701,34130,34,,18.975,ok
simulated_annealing,erdos_renyi_743_4,743,52439,46,,43.895,ok
simulated_annealing,erdos_renyi_747_1,747,53227,47,,42.668,ok
simulated_annealing,grid_1225_5,1225,2380,4,,8.288,ok
simulated_annealing,grid_2070_3,2070,4049,4,,6.832,ok
simulated_annealing,grid_360_1,360,682,4,,1.219,ok
simulated_annealing,grid_676_2,676,1300,4,,2.919,ok
simulated_annealing,grid_841_4,841,1624,4,,2.550,ok
simulated_annealing,planar_161_5,161,295,4,,0.468,ok
simulated_annealing,planar_261_2,261,430,4,,0.744,ok
simulated_annealing,planar_309_4,309,492,4,,0.993,ok
simulated_annealing,planar_329_1,329,515,4,,1.067,ok
simulated_annealing,planar_420_3,420,652,4,,1.466,ok
simulated_annealing,tree_238_1,238,237,3,,0.514,ok
simulated_annealing,tree_275_4,275,274,3,,0.723,ok
simulated_annealing,tree_505_2,505,504,3,,1.252,ok
simulated_annealing,tree_862_3,862,861,3,,2.205,ok
simulated_annealing,tree_958_5,958,957,3,,2.731,ok
simulated_annealing,watts_strogatz_155_1,155,1085,8,,1.867,ok
simulated_annealing,watts_strogatz_229_2,229,2519,12,,2.464,ok
simulated_annealing,watts_strogatz_363_7,363,6534,20,,3.322,ok
simulated_annealing,watts_strogatz_427_5,427,8967,21,,6.277,ok
simulated_annealing,watts_strogatz_527_3,527,13702,26,,6.841,ok
simulated_annealing,watts_strogatz_551_6,551,14877,27,,7.253,ok
simulated_annealing,watts_strogatz_689_9,689,23426,40,,7.532,ok
simulated_annealing,watts_strogatz_711_4,711,24885,32,,9.758,ok
simulated_annealing,watts_strogatz_987_8,987,48363,53,,20.728,ok
simulated_annealing,watts_strogatz_989_10,989,48461,44,,27.539,ok
tabu_search,barabasi_albert_111_3,111,530,5,,25.577,ok
tabu_search,barabasi_albert_1193_7,1193,5940,6,,1604.156,ok
tabu_search,barabasi_albert_1262_5,1262,6285,6,,1604.557,ok
tabu_search,barabasi_albert_1284_4,1284,6395,6,,1894.961,ok
tabu_search,barabasi_albert_1776_10,1776,8855,7,,2595.578,ok
tabu_search,barabasi_albert_324_9,324,1595,6,,111.088,ok
tabu_search,barabasi_albert_382_2,382,1885,6,,144.818,ok
tabu_search,barabasi_albert_769_6,769,3820,6,,601.294,ok
tabu_search,barabasi_albert_783_8,783,3890,6,,704.165,ok
tabu_search,barabasi_albert_933_1,933,4640,6,,1032.630,ok
tabu_search,bipartite_278_2,278,2295,2,,2.685,ok
tabu_search,bipartite_704_1,704,30226,2,,792.197,ok
tabu_search,bipartite_77_5,77,363,2,,0.291,ok
tabu_search,bipartite_80_4,80,222,2,,0.226,ok
tabu_search,bipartite_963_3,963,50450,2,,79.531,ok
tabu_search,complete_10_1,10,45,10,,1.809,ok
tabu_search,complete_28_3,28,378,28,,15.221,ok
tabu_search,complete_33_2,33,528,33,,20.412,ok
tabu_search,complete_35_4,35,595,35,,21.517,ok
tabu_search,complete_47_5,47,1081,47,,39.800,ok
tabu_search,erdos_renyi_1283_9,1283,76751,26,,34969.862,ok
tabu_search,erdos_renyi_1356_5,1356,110455,34,,40810.278,ok
tabu_search,erdos_renyi_1754_2,1754,286515,,,,timeout(first-pass)
tabu_search,erdos_renyi_1800_10,1800,110682,27,,50161.573,ok
tabu_search,erdos_renyi_1808_3,1808,170826,38,,95978.905,ok
tabu_search,erdos_renyi_437_8,437,8504,11,,1349.726,ok
tabu_search,erdos_renyi_632_6,632,25733,20,,3449.449,ok
tabu_search,erdos_renyi_701_7,701,34130,23,,5132.835,ok
tabu_search,erdos_renyi_743_4,743,52439,31,,10430.195,ok
tabu_search,erdos_renyi_747_1,747,53227,31,,11215.164,ok
tabu_search,grid_1225_5,1225,2380,2,,6.584,ok
tabu_search,grid_2070_3,2070,4049,2,,22.552,ok
tabu_search,grid_360_1,360,682,2,,0.416,ok
tabu_search,grid_676_2,676,1300,4,,0.592,ok
tabu_search,grid_841_4,841,1624,4,,0.990,ok
