algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
welsh_powell,le450_25b,450,8263,26,25,0.113,ok
dsatur,le450_25b,450,8263,25,25,1.498,ok
simulated_annealing,le450_25b,450,8263,26,25,4.092,ok
genetic,le450_25b,450,8263,25,25,1030.006,ok
welsh_powell,le450_25c,450,17343,31,25,0.173,ok
dsatur,le450_25c,450,17343,28,25,2.797,ok
simulated_annealing,le450_25c,450,17343,33,25,9.887,ok
genetic,le450_25c,450,17343,29,25,2822.637,ok
welsh_powell,le450_25d,450,17425,30,25,0.437,ok
dsatur,le450_25d,450,17425,29,25,3.311,ok
simulated_annealing,le450_25d,450,17425,33,25,11.667,ok
genetic,le450_25d,450,17425,29,25,2015.146,ok
welsh_powell,le450_5a,450,5714,12,5,0.056,ok
dsatur,le450_5a,450,5714,10,5,1.010,ok
simulated_annealing,le450_5a,450,5714,12,5,5.016,ok
genetic,le450_5a,450,5714,11,5,600.944,ok
welsh_powell,le450_5b,450,5734,11,5,0.059,ok
dsatur,le450_5b,450,5734,7,5,1.058,ok
simulated_annealing,le450_5b,450,5734,10,5,8.786,ok
genetic,le450_5b,450,5734,10,5,779.960,ok
welsh_powell,le450_5c,450,9803,13,5,0.059,ok
dsatur,le450_5c,450,9803,11,5,1.605,ok
simulated_annealing,le450_5c,450,9803,14,5,9.848,ok
genetic,le450_5c,450,9803,11,5,1322.658,ok
welsh_powell,le450_5d,450,9757,13,5,0.063,ok
dsatur,le450_5d,450,9757,11,5,1.598,ok
simulated_annealing,le450_5d,450,9757,13,5,11.638,ok
genetic,le450_5d,450,9757,10,5,2307.159,ok
welsh_powell,miles1000,128,3216,43,42,0.049,ok
dsatur,miles1000,128,3216,42,42,0.582,ok
simulated_annealing,miles1000,128,3216,43,42,1.046,ok
genetic,miles1000,128,3216,42,42,305.438,ok
welsh_powell,miles1500,128,5198,73,73,0.115,ok
dsatur,miles1500,128,5198,73,73,0.848,ok
simulated_annealing,miles1500,128,5198,73,73,1.865,ok
genetic,miles1500,128,5198,73,73,506.450,ok
welsh_powell,miles250,128,387,8,8,0.010,ok
dsatur,miles250,128,387,8,8,0.100,ok
simulated_annealing,miles250,128,387,8,8,0.443,ok
genetic,miles250,128,387,8,8,70.713,ok
welsh_powell,miles500,128,1170,20,20,0.018,ok
dsatur,miles500,128,1170,20,20,0.211,ok
simulated_annealing,miles500,128,1170,21,20,0.503,ok
genetic,miles500,128,1170,20,20,136.993,ok
welsh_powell,miles750,128,2113,32,31,0.029,ok
dsatur,miles750,128,2113,31,31,0.356,ok
simulated_annealing,miles750,128,2113,31,31,0.953,ok
genetic,miles750,128,2113,31,31,216.022,ok
welsh_powell,mulsol.i.1,197,3925,49,49,0.059,ok
dsatur,mulsol.i.1,197,3925,49,49,0.704,ok
simulated_annealing,mulsol.i.1,197,3925,50,49,2.171,ok
genetic,mulsol.i.1,197,3925,49,49,508.735,ok
welsh_powell,mulsol.i.2,188,3885,31,31,0.047,ok
dsatur,mulsol.i.2,188,3885,31,31,0.669,ok
simulated_annealing,mulsol.i.2,188,3885,32,31,2.125,ok
genetic,mulsol.i.2,188,3885,31,31,436.564,ok
welsh_powell,mulsol.i.3,184,3916,31,31,0.048,ok
dsatur,mulsol.i.3,184,3916,31,31,0.639,ok
simulated_annealing,mulsol.i.3,184,3916,33,31,2.244,ok
genetic,mulsol.i.3,184,3916,31,31,439.742,ok
welsh_powell,mulsol.i.4,185,3946,31,31,0.049,ok
dsatur,mulsol.i.4,185,3946,31,31,0.689,ok
simulated_annealing,mulsol.i.4,185,3946,33,31,2.860,ok
genetic,mulsol.i.4,185,3946,31,31,440.828,ok
welsh_powell,mulsol.i.5,186,3973,31,31,0.055,ok
dsatur,mulsol.i.5,186,3973,31,31,0.635,ok
simulated_annealing,mulsol.i.5,186,3973,32,31,2.137,ok
genetic,mulsol.i.5,186,3973,31,31,435.534,ok
welsh_powell,myciel3,11,20,4,4,0.002,ok
dsatur,myciel3,11,20,4,4,0.023,ok
simulated_annealing,myciel3,11,20,4,4,0.144,ok
genetic,myciel3,11,20,4,4,6.300,ok
welsh_powell,myciel4,23,71,5,5,0.001,ok
dsatur,myciel4,23,71,5,5,0.019,ok
simulated_annealing,myciel4,23,71,5,5,0.135,ok
genetic,myciel4,23,71,5,5,12.306,ok
welsh_powell,myciel5,47,236,6,6,0.005,ok
dsatur,myciel5,47,236,6,6,0.050,ok
simulated_annealing,myciel5,47,236,6,6,0.215,ok
genetic,myciel5,47,236,6,6,31.774,ok
welsh_powell,myciel6,95,755,7,7,0.013,ok
dsatur,myciel6,95,755,7,7,0.133,ok
simulated_annealing,myciel6,95,755,7,7,0.599,ok
genetic,myciel6,95,755,7,7,83.418,ok
welsh_powell,myciel7,191,2360,8,8,0.016,ok
dsatur,myciel7,191,2360,8,8,0.370,ok
simulated_annealing,myciel7,191,2360,8,8,3.497,ok
genetic,myciel7,191,2360,8,8,250.884,ok
welsh_powell,queen10_10,100,1470,17,11,0.021,ok
dsatur,queen10_10,100,1470,14,11,0.630,ok
simulated_annealing,queen10_10,100,1470,15,11,0.725,ok
genetic,queen10_10,100,1470,13,11,166.332,ok
welsh_powell,queen11_11,121,1980,18,11,0.022,ok
dsatur,queen11_11,121,1980,14,11,0.665,ok
simulated_annealing,queen11_11,121,1980,15,11,1.828,ok
genetic,queen11_11,121,1980,14,11,239.232,ok
welsh_powell,queen12_12,144,2596,20,12,0.024,ok
dsatur,queen12_12,144,2596,16,12,0.445,ok
simulated_annealing,queen12_12,144,2596,17,12,1.865,ok
genetic,queen12_12,144,2596,16,12,247.540,ok
welsh_powell,queen13_13,169,3328,20,13,0.031,ok
dsatur,queen13_13,169,3328,17,13,0.574,ok
simulated_annealing,queen13_13,169,3328,19,13,1.929,ok
genetic,queen13_13,169,3328,18,13,291.728,ok
welsh_powell,queen14_14,196,4186,24,14,0.042,ok
dsatur,queen14_14,196,4186,19,14,0.695,ok
simulated_annealing,queen14_14,196,4186,22,14,1.739,ok
genetic,queen14_14,196,4186,19,14,373.905,ok
welsh_powell,queen15_15,225,5180,24,15,0.055,ok
dsatur,queen15_15,225,5180,20,15,0.968,ok
simulated_annealing,queen15_15,225,5180,23,15,2.538,ok
genetic,queen15_15,225,5180,20,15,465.866,ok
welsh_powell,queen16_16,256,6320,26,16,0.065,ok
dsatur,queen16_16,256,6320,21,16,1.335,ok
simulated_annealing,queen16_16,256,6320,26,16,1.925,ok
genetic,queen16_16,256,6320,21,16,608.296,ok
welsh_powell,queen5_5,25,160,7,5,0.009,ok
dsatur,queen5_5,25,160,5,5,0.031,ok
simulated_annealing,queen5_5,25,160,5,5,0.234,ok
genetic,queen5_5,25,160,5,5,35.651,ok
welsh_powell,queen6_6,36,290,9,7,0.004,ok
dsatur,queen6_6,36,290,9,7,0.056,ok
simulated_annealing,queen6_6,36,290,9,7,0.194,ok
genetic,queen6_6,36,290,8,7,33.394,ok
welsh_powell,queen7_7,49,476,13,7,0.006,ok
dsatur,queen7_7,49,476,10,7,0.087,ok
simulated_annealing,queen7_7,49,476,10,7,0.431,ok
genetic,queen7_7,49,476,9,7,53.029,ok
welsh_powell,queen8_12,96,1368,16,12,0.013,ok
dsatur,queen8_12,96,1368,14,12,0.584,ok
simulated_annealing,queen8_12,96,1368,15,12,0.473,ok
genetic,queen8_12,96,1368,13,12,139.468,ok
welsh_powell,queen8_8,64,728,13,9,0.010,ok
dsatur,queen8_8,64,728,13,9,0.136,ok
simulated_annealing,queen8_8,64,728,12,9,0.469,ok
genetic,queen8_8,64,728,11,9,72.503,ok
welsh_powell,queen9_9,81,1056,16,10,0.013,ok
dsatur,queen9_9,81,1056,12,10,0.179,ok
simulated_annealing,queen9_9,81,1056,12,10,0.866,ok
genetic,queen9_9,81,1056,12,10,114.490,ok
welsh_powell,school1,385,19095,32,,0.158,ok
dsatur,school1,385,19095,20,,4.332,ok
simulated_annealing,school1,385,19095,45,,15.784,ok
genetic,school1,385,19095,25,,2847.631,ok
welsh_powell,school1_nsh,352,14612,32,14,0.307,ok
dsatur,school1_nsh,352,14612,26,14,2.113,ok
simulated_annealing,school1_nsh,352,14612,40,14,12.345,ok
genetic,school1_nsh,352,14612,30,14,1804.330,ok
welsh_powell,zeroin.i.1,211,4100,49,49,0.064,ok
dsatur,zeroin.i.1,211,4100,49,49,0.664,ok
simulated_annealing,zeroin.i.1,211,4100,50,49,1.489,ok
genetic,zeroin.i.1,211,4100,49,49,417.804,ok
welsh_powell,zeroin.i.2,211,3541,30,30,0.041,ok
dsatur,zeroin.i.2,211,3541,30,30,0.590,ok
simulated_annealing,zeroin.i.2,211,3541,30,30,2.282,ok
genetic,zeroin.i.2,211,3541,30,30,400.894,ok
welsh_powell,zeroin.i.3,206,3540,30,30,0.037,ok
dsatur,zeroin.i.3,206,3540,30,30,0.564,ok
simulated_annealing,zeroin.i.3,206,3540,31,30,1.836,ok
genetic,zeroin.i.3,206,3540,30,30,397.469,ok
genetic,DSJC1000.9,1000,449449,316,224,299529.197,ok(retry)
